Stock,Earnings Date,Sector,Industry
BK,01/13/2026,Financials,Banks Diversified
JPM,01/13/2026,Financials,Banks Diversified
DAL,01/13/2026,Industrials,Airlines
BAC,01/14/2026,Financials,Banks Diversified
INFY,01/14/2026,Technology,Information Technology
C,01/14/2026,Financials,Banks Diversified
WFC,01/14/2026,Financials,Banks Diversified
TSM,01/15/2026,Technology,Semiconductors
BLK,01/15/2026,Financials,Asset Management
GS,01/15/2026,Financials,Capital Markets
JBHT,01/15/2026,Industrials,Integrated Freight and Logistics
MS,01/15/2026,Financials,Capital Markets
PNC,01/16/2026,Financials,Banks Regional
RF,01/16/2026,Financials,Banks Regional
STT,01/16/2026,Financials,Asset Management
USB,01/20/2026,Financials,Banks Regional
DHI,01/20/2026,Consumer Cyclical,Residential Construction
MMM,01/20/2026,Industrials,Conglomerates
NFLX,01/20/2026,Communication Services,Entertainment
UAL,01/20/2026,Industrials,Airlines
FAST,01/20/2026,Industrials,Industrial Distribution
HAL,01/21/2026,Energy,Oil and Gas Equipment and Services
TEL,01/21/2026,Technology,Electronic Components
PLD,01/21/2026,Real Estate,Real Estate
CFG,01/21/2026,Financials,Banks Regional
STLD,01/21/2026,Basic Materials,Steel
ONB,01/21/2026,Financials,Banks Regional
TRV,01/21/2026,Financials,Insurance Propery and Casualty
SCHW,01/21/2026,Financials,Capital Markets
TFC,01/21/2026,Financials,Banks Regional
JNJ,01/21/2026,Healthcare,Drug Manufacturers - General
GE,01/22/2026,Industrials,Aerospace and Defense
ISRG,01/22/2026,Healthcare,Medical Instruments and Supplies
CSX,01/22/2026,Industrials,Railroads
FCX,01/22/2026,Basic Materials,Copper
COF,01/22/2026,Financials,Credit Services
PG,01/22/2026,Consumer Defensive,Household and Personal Products
INTC,01/22/2026,Technology,Semiconductors
ABT,01/22/2026,Healthcare,Medical Devices
AA,01/22/2026,Basic Materials,Aluminum
HBAN,01/22/2026,Healthcare,Banks Regional
SLB,01/23/2026,Energy,Oil and Gas Equipment and Services
NEE,01/23/2026,Utilities,Regulated Electric
BRO,01/26/2026,Financials,Insurance Brokers
SCCO,01/26/2026,Basic Materials,Copper
NUE,01/26/2026,Basic Materials,Steel
UNH,01/27/2026,Healthcare,Healthcare Plans
UNP,01/27/2026,Industrials,Railroads
UPS,01/27/2026,Industrials,Integrated Freight and Logistics
BA,01/27/2026,Industrials,Aerospace and Defense
ROP,01/27/2026,Technology,Software Application
SBUX,01/27/2026,Consumer Cyclical,Restaurants
RCL,01/27/2026,Consumer Cyclical,Travel Services
RTX,01/27/2026,Industrials,Aerospace and Defense
QRVO,01/27/2026,Technology,Semiconductors
V,01/27/2026,Financials,Credit Services
SYF,01/27/2026,Financials,Credit Services
TXN,01/27/2026,Technology,Semiconductors
PPG,01/27/2026,Basic Materials,Specialty Chemicals
NOC,01/27/2026,Industrials,Aerospace and Defense
GM,01/27/2026,Consumer Cyclical,Auto Manufacturers
PCAR,01/27/2026,Industrials,Farm and Heavy Construction Machinery
T,01/28/2026,Communication Services,Telecom Services
